OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
149,"(834602.3909, 1178836.3221)",WIFIMDE0177,Mascerca Poblado,14,14,1,CR 43 D # 11 - 02,834602.3909,1178836.3221,6.21130371,-75.57189941
150,"(834534.8820000006, 1182644.0702)",WIFIMDE0044,Plazoleta de Cisneros (parque luces),10,10,1,CL 45 - CR 53,834534.882,1182644.0702,6.24572754,-75.57250977
151,"(834514.7126, 1189253.6173999999)",WIFIMDE0181,Parque deportivo y Recreativo La Tinajita,06,06,1,CR 76 # 105 - 15,834514.7126,1189253.6174,6.30548096,-75.57269287
152,"(834480.8164, 1181469.3405)",WIFIMDE0073,Hospital General de Medellín,10,10,1,CR 48 # 32 - 102  ,834480.8164,1181469.3405,6.23510742,-75.57299805
153,"(834480.8997, 1186863.6488)",WIFIMDE0042,Pista de Patinaje Francisco Antonio Zea,05,05,1,CL 91A - CR 67,834480.8997,1186863.6488,6.28387451,-75.57299805
154,"(834480.8778, 1185452.6221)",WIFIMDE0046,Secretaría de Movilidad (Oficina Castilla),05,05,1,CR 64 C # 72 - 58,834480.8778,1185452.6221,6.27111816,-75.57299805
155,"(834467.3216, 1182576.5579)",WIFIMDE0045,Plazoleta La Alpujarra (Centro Administrativo),10,10,1,CL 44 # 52 - 165,834467.3216,1182576.5579,6.24511719,-75.57312012
156,"(834447.0128000005, 1180011.0548999999)",WIFIMDE0289,Parque Lineal Ciudad Del Río,14,14,1,CL 19 - CR 43 G,834447.0128,1180011.0549,6.22192383,-75.57330322
157,"(834447.0526, 1182509.045)",WIFIMDE0072,Centro de Servicio al Ciudadano (CAM),10,10,1,Sótano Centro administrativo la Alpujarra,834447.0526,1182509.045,6.24450684,-75.57330322
158,"(834426.7851000002, 1182529.2993)",WIFIMDE0021,Banco de los Pobres,10,10,1,Sótano Centro administrativo la Alpujarra,834426.7851,1182529.2993,6.24468994,-75.57348633
159,"(834426.7854, 1182549.5533)",WIFIMDE0047,Tesorería Municipal (Oficina CAM),10,10,1,Edificio Alcaldía - Piso 1,834426.7854,1182549.5533,6.24487305,-75.57348633
160,"(834413.2945, 1183812.0512)",WIFIMDE0317,Centro Comercial Medellín,10,10,1,CR 57 # 54 -71,834413.2945,1183812.0512,6.25628662,-75.5736084
161,"(834413.3751, 1188659.5023)",WIFIMDE0321,Parque los Jubilados,06,06,1,CL 102 - CR 74,834413.3751,1188659.5023,6.30010986,-75.5736084
162,"(834393.0042000003, 1182461.7866)",WIFIMDE0018,Concejo de Medellín (Recinto),10,10,1,"CL 44 #  52 - 165 (Alpujarra, Ed. Concejo)",834393.0042,1182461.7866,6.24407959,-75.5737915
163,"(834379.6001000002, 1188727.0162)",WIFIMDE0133,Casa de La Cultura Pedregal,06,06,1,CL 103 # 74 A - 03,834379.6001,1188727.0162,6.30072021,-75.57391357
164,"(834359.1986000004, 1180983.2471)",WIFIMDE0211,Plazoleta Estación Metro Industriales (exterior Punto Clave),14,14,1,CR 48 - CL 29 (CC Punto Clave),834359.1986,1180983.2471,6.23071289,-75.57409668
165,"(834305.1356, 1180227.0997000001)",WIFIMDE0067,Plazoleta Y Parque Cultural Del Mamm,14,14,1,CR 44 - CL 20,834305.1356,1180227.0997,6.22387695,-75.57458496
166,"(834183.6572, 1186735.3791)",WIFIMDE0095,Centro de Salud Alfonso López,05,05,1,CR 70 # 90 - 13,834183.6572,1186735.3791,6.28271484,-75.57568359
167,"(834149.8841, 1186931.1682000002)",WIFIMDE0299,Parque Alfonso López,05,05,1,CL 92 - CR 71,834149.8841,1186931.1682,6.28448486,-75.57598877
168,"(834116.1542000006, 1189098.3442000002)",WIFIMDE0328,Estación Metrocable Doce de Octubre,06,06,1,,834116.1542,1189098.3442,6.30407715,-75.57629394
169,"(834095.7385, 1182306.5119000003)",WIFIMDE0195,Plaza Mayor - Plazoleta Interamericana,10,10,1,CL 41  # 55 - 80,834095.7385,1182306.5119,6.24267578,-75.57647705
170,"(834082.1961, 1180935.9932)",WIFIMDE0222,Estación Metroplus Industriales L1 (interior plataforma abordaje),15,15,1,CR 52 - CL 30,834082.1961,1180935.9932,6.23028564,-75.57659912
171,"(834068.8398, 1187862.8528)",WIFIMDE0237,Cancha Sintética La Maracaná,06,06,1,CR 73A - CL 96,834068.8398,1187862.8528,6.29290772,-75.57672119
172,"(834068.7206000001, 1182576.5655)",WIFIMDE0031,Parque de Los Pies descalzos,10,10,1,CR 58 # 42 - 125,834068.7206,1182576.5655,6.24511719,-75.57672119
173,"(834061.9276000004, 1180935.9938)",WIFIMDE0127,Plazoleta Estación Metroplus Industriales (exterior),15,15,1,CR 52 - CL 30 ,834061.9276,1180935.9938,6.23028564,-75.57678223
174,"(834048.3716000002, 1179011.8665)",WIFIMDE0132,Plazoleta Estación Metro Poblado (exterior),14,14,1,Av Regional - CR 48 C (Acceso PJIC),834048.3716,1179011.8665,6.21289062,-75.5769043
175,"(833974.2958, 1189125.3527000002)",WIFIMDE0051,Unidad Deportiva Doce de Octubre,06,06,1,CR 78 B - CL 104 B,833974.2958,1189125.3527,6.30432129,-75.57757568
176,"(833974.2926, 1188990.3262)",WIFIMDE0161,Inspección N°6 Doce de Octubre,06,06,1,CL 103 # 77 B - 56,833974.2926,1188990.3262,6.30310059,-75.57757568
177,"(833940.2704, 1179032.1231)",WIFIMDE0212,Estación Metro Poblado,14,14,1,Av Regional - CL 10,833940.2704,1179032.1231,6.21307373,-75.57788086
178,"(833926.838, 1182266.0079)",WIFIMDE0305,Parques del Río 1B Sur (Frente teatro Metropolitano),10,10,1,CR 62 - CL 41,833926.838,1182266.0079,6.24230957,-75.57800293
179,"(833913.1843000001, 1176601.6468000002)",WIFIMDE0284,Parque Memorial Inflexión,14,14,1,CR 44 - CL 15 Sur,833913.1843,1176601.6468,6.19110107,-75.578125
180,"(833893.2279, 1188902.561)",WIFIMDE0082,UPSS Doce de Octubre,06,06,1,CL 101 BB # 78 - 10,833893.2279,1188902.561,6.30230713,-75.57830811
181,"(833872.8318, 1183879.5759)",WIFIMDE0106,Plazuela Carlos E. Restrepo,11,11,1,CR 64 B entre CL 53 Y CL 52,833872.8318,1183879.5759,6.25689697,-75.57849121
182,"(833818.7505000003, 1182576.5717)",WIFIMDE0306,Parques del Río 1B Norte (Frente edificio Inteligente),10,10,1,CR 62 - CL 42,833818.7505,1182576.5717,6.24511719,-75.57897949
183,"(833805.2339000001, 1182401.0376)",WIFIMDE0283,Parques del Río 1A Centro,11,11,1,CR 63 A - CL 42 C,833805.2339,1182401.0376,6.24353027,-75.57910156
184,"(833670.1476000004, 1183528.5126)",WIFIMDE0126,Parque Amisura,11,11,1,CR 64B - CL 49A,833670.1476,1183528.5126,6.25372314,-75.58032227
185,"(833670.0912, 1181604.385)",WIFIMDE0012,Cerro Nutibara (Pueblito Paisa),16,16,1,CL 30 A # 55 - 64,833670.0912,1181604.385,6.23632812,-75.58032227
186,"(833663.2307000001, 1178039.6859)",WIFIMDE0290,Parque De Ruedas 4 Sur,15,15,1,CR 50 - CL 2 Sur,833663.2307,1178039.6859,6.20410156,-75.5803833
187,"(833629.7438, 1187883.1182)",WIFIMDE0309,Cancha Sintética el Polvorín,06,06,1,CL 95 - CR 76,833629.7438,1187883.1182,6.29309082,-75.58068848
188,"(833629.5017, 1179828.7877)",WIFIMDE0275,Parque San Pablo,15,15,1,CL 16 A - CR 52,833629.5017,1179828.7877,6.22027588,-75.58068848
189,"(833548.7345000004, 1189611.4597999998)",WIFIMDE0055,Centralidad Deportiva El Progreso N°2,06,06,1,CL 106 E # 82 A - 100,833548.7345,1189611.4598,6.30871582,-75.5814209
190,"(833541.5816, 1176999.9855)",WIFIMDE0296,Estación Aguacatala (interior estación),14,14,1,Av Regional - CL 12 Sur,833541.5816,1176999.9855,6.19470215,-75.58148193
191,"(833508.1365, 1187532.0531000001)",WIFIMDE0107,Parque Kennedy,06,06,1,CL 92 - CR 76 A,833508.1365,1187532.0531,6.28991699,-75.58178711
192,"(833454.1537, 1189341.4098999999)",WIFIMDE0312,Estación Metrocable El Progreso,06,06,1,CR 84 A - CL 104 A,833454.1537,1189341.4099,6.30627441,-75.58227539
193,"(833420.2225000001, 1184743.7589)",WIFIMDE0150,Cerro El Volador,07,07,1,CR 65 # 67 - 51,833420.2225,1184743.7589,6.26470947,-75.58258057
194,"(833420.1793000004, 1183461.0071999999)",WIFIMDE0213,Plazoleta Estación Metro Suramericana (exterior),11,11,1,CL 48 - CR 65,833420.1793,1183461.0072,6.25311279,-75.58258057
195,"(833406.7893, 1187045.9611)",WIFIMDE0267,Pista de patinaje La Quintana,07,07,1,CL 88 A -  CR 76,833406.7893,1187045.9611,6.28552246,-75.58270264
196,"(833372.8526000004, 1182421.3048)",WIFIMDE0119,Parque El Triángulo (Conquistadores),11,11,1,CL 40 - CR 65,833372.8526,1182421.3048,6.24371338,-75.58300781
197,"(833352.8038, 1188700.0376)",WIFIMDE0327,Placa Polideportiva los Lotes,06,06,1,CR 84 - CL 100 F,833352.8038,1188700.0376,6.30047608,-75.58319092
198,"(833318.9678000001, 1187018.9588000001)",WIFIMDE0093,Cedezo La Quintana,07,07,1,CR 80 #  82 - 60  (Parque Biblioteca Tomás Carrasquilla),833318.9678,1187018.9588,6.28527832,-75.58349609
199,"(833305.5063, 1188396.2295)",WIFIMDE0142,Centro de Salud Picachito,06,06,1,CR 83 B # 97 AA - 82,833305.5063,1188396.2295,6.29772949,-75.58361816
200,"(833231.0318, 1183899.8499)",WIFIMDE0122,Parque Suramericana Alta,11,11,1,CR 67 - CL4 9B,833231.0318,1183899.8499,6.25708008,-75.58428955
201,"(833217.6446, 1187241.7562)",WIFIMDE0300,Parque la Cruz,07,07,1,CL 89 B - CR 79,833217.6446,1187241.7562,6.28729248,-75.58441162
202,"(833217.4711000001, 1182576.5908)",WIFIMDE0118,Parque Los Mangos,11,11,1,CR 66 B - CQ 6,833217.4711,1182576.5908,6.24511719,-75.58441162
203,"(833197.3217, 1185736.2116)",WIFIMDE0194,Ampliación Parque La Pilarica,07,07,1,CL 74 - CR 73,833197.3217,1185736.2116,6.27368164,-75.58459473
204,"(833197.3243000006, 1185803.7248)",WIFIMDE0193,Parque La Pilarica,07,07,1,CL 74 - CR 73,833197.3243,1185803.7248,6.27429199,-75.58459473
205,"(833183.8558, 1186931.1965)",WIFIMDE0010,Casa de Justicia de Robledo,07,07,1,DG 85 # 79 - 173,833183.8558,1186931.1965,6.28448486,-75.5847168
206,"(833143.0657, 1180227.1326000001)",WIFIMDE0310,Cancha Trinidad,15,15,1,CL 23 - CR 65 E,833143.0657,1180227.1326,6.22387695,-75.58508301
207,"(833055.3106, 1182131.0096)",WIFIMDE0120,Parque Unicentro,11,11,1,CL 35 - CR 66,833055.3106,1182131.0096,6.24108887,-75.58587646
208,"(833041.7383, 1180625.4647)",WIFIMDE0252,Placa PoliDeportiva Trinidad,15,15,1,CL 26 - CR 65 D,833041.7383,1180625.4647,6.22747803,-75.58599854
209,"(832987.6123000002, 1178748.5986000001)",WIFIMDE0253,Parque Manzanares,15,15,1,CL 2 A - CR 55,832987.6123,1178748.5986,6.21051025,-75.58648682
210,"(832974.3976, 1185979.2678999999)",WIFIMDE0020,Institución Universitaria Pascual Bravo,07,07,1,CL 73 # 73 A - 226,832974.3976,1185979.2679,6.27587891,-75.58660889
211,"(832974.1258, 1179389.9751)",WIFIMDE0078,Terminal del Sur,15,15,1,CR 65 # 8 B - 91 ,832974.1258,1179389.9751,6.21630859,-75.58660889
212,"(832974.0840000006, 1178370.525)",WIFIMDE0028,Parque de Cristo Rey,15,15,1,CR 53 - CL 2 Sur,832974.084,1178370.525,6.20709229,-75.58660889
213,"(832933.7213, 1182576.602)",WIFIMDE0117,Parque Cancha Grande San Joaquín,11,11,1,CR 68 - CQ 3,832933.7213,1182576.602,6.24511719,-75.5869751
214,"(832920.4142, 1187417.3024)",WIFIMDE0094,Centro de Salud San Camilo,07,07,1,CR 88 # 80 - 150,832920.4142,1187417.3024,6.28887939,-75.58709717
215,"(832920.0835000001, 1179585.7656999999)",WIFIMDE0205,Plaza Gardel - Aeropuerto Olaya Herrera,15,15,1,CL 10 - CR 65,832920.0835,1179585.7657,6.21807861,-75.58709717
216,"(832899.7912, 1179032.1579)",WIFIMDE0166,Unidad Deportiva Campo Amor,15,15,1,CR 65 - CL 5,832899.7912,1179032.1579,6.21307373,-75.58728027
217,"(832852.5906, 1181206.0865)",WIFIMDE0053,Bolera Unidad Deportiva Andrés Escobar,16,16,1,CR 66 B # 30 – 26,832852.5906,1181206.0865,6.23272705,-75.58770752
218,"(832818.9227, 1183771.5913)",WIFIMDE0016,Coliseo Iván de Bedout,11,11,1,Unid. Deportiva Atanasio Girardot,832818.9227,1183771.5913,6.25592041,-75.58801269
219,"(832818.9108000005, 1183501.5384)",WIFIMDE0214,Plazoleta Estación Metro Estadio (exterior),11,11,1,CL 47 D - CR 70,832818.9108,1183501.5384,6.253479,-75.5880127
220,"(832798.6522, 1183704.0791)",WIFIMDE0013,Coliseo de Voleibol Yesid Santos,11,11,1,Unid. Deportiva Atanasio Girardot,832798.6522,1183704.0791,6.25531006,-75.5881958
221,"(832785.1532, 1183987.6352)",WIFIMDE0040,Pista de Atletismo Alfonso Galvis,11,11,1,Unid. Deportiva Atanasio Girardot,832785.1532,1183987.6352,6.25787353,-75.58831787
222,"(832778.3827, 1183656.8206000002)",WIFIMDE0014,Coliseo de Combate Guillermo Gaviria Correa,11,11,1,Unid. Deportiva Atanasio Girardot,832778.3827,1183656.8206,6.25488281,-75.58837891
223,"(832778.374, 1183461.0322)",WIFIMDE0215,"Plazoleta Estación Estadio, ampliación (exterior)",11,11,1,CL 47 D - CR 70,832778.374,1183461.0322,6.25311279,-75.58837891
224,"(832764.9089, 1184500.7368)",WIFIMDE0128,Parque Plan Parcial Invatex,11,11,1,CL 53 - CR 74,832764.9089,1184500.7368,6.26251221,-75.58850098
225,"(832764.6021, 1177641.3909)",WIFIMDE0148,Mascerca Guayabal,15,15,1,CR 52 # 9 Sur - 42,832764.6021,1177641.3909,6.20050049,-75.58850098
226,"(832764.7708, 1181422.1328)",WIFIMDE0048,Tiro Con Arco Unidad Deportiva Andrés Escobar,16,16,1,CR 66 B # 31 - 15 ,832764.7708,1181422.1328,6.23468018,-75.58850098
227,"(832751.2468, 1181158.8317)",WIFIMDE0041,Pista de Bicicross Antonio Roldán Betancur,16,16,1,CL 30 A 66 B - 71,832751.2468,1181158.8317,6.2322998,-75.58862305
228,"(832731.0971, 1183771.5953000002)",WIFIMDE0015,Coliseo de Gimnasia Jorge Hugo Giraldo,11,11,1,Unid. Deportiva Atanasio Girardot,832731.0971,1183771.5953,6.25592041,-75.58880615
229,"(832710.5548, 1177749.4146)",WIFIMDE0158,Centro de Salud Guayabal,15,15,1,CL 9 Sur # 52 - 42,832710.5548,1177749.4146,6.20147705,-75.58898926
230,"(832677.1000000003, 1184831.5557)",WIFIMDE0121,Parque de la Vida - Los Colores,11,11,1,CR 76A - CL 55,832677.1,1184831.5557,6.26550293,-75.58929443
231,"(832656.6531, 1180983.3016)",WIFIMDE0242,Pista de BMX Mariana Pajón,15,15,1,CR 69 B - CL 26 B,832656.6531,1180983.3016,6.23071289,-75.58947754
232,"(832629.7558, 1183683.8327000001)",WIFIMDE0043,Plazoleta de Banderas,11,11,1,Unid. Deportiva Atanasio Girardot,832629.7558,1183683.8327,6.25512695,-75.58972168
233,"(832609.5144000005, 1184230.691)",WIFIMDE0054,Diamante de Béisbol Luis Alberto Villegas,11,11,1,Unid. Deportiva Atanasio Girardot,832609.5144,1184230.691,6.2600708,-75.58990479
234,"(832575.5698000003, 1180780.7656999999)",WIFIMDE0060,Coliseo Carlos Mauro Hoyos,15,15,1,CR 69 B - CL 26 B,832575.5698,1180780.7657,6.22888184,-75.59020996
235,"(832508.1118, 1182887.1823)",WIFIMDE0123,Telecentro San Joaquín,11,11,1,CL 42 # 71 - 37,832508.1118,1182887.1823,6.24792481,-75.59082031
236,"(832487.8933, 1183879.628)",WIFIMDE0147,Centro de Servicios El Estadio,11,11,1,CL 48 # 73 - 10,832487.8933,1183879.628,6.25689697,-75.59100342
237,"(832454.1076000006, 1183744.6032)",WIFIMDE0017,Complejo Acuático,11,11,1,Unid. Deportiva Atanasio Girardot,832454.1076,1183744.6032,6.25567627,-75.59130859
238,"(832433.8928000003, 1184784.3081999999)",WIFIMDE0105,Centro Cultural Los Colores,11,11,1,CR 77 B # 53 - 26,832433.8928,1184784.3082,6.26507568,-75.5914917
239,"(832379.5859, 1179700.5635000002)",WIFIMDE0036,Aeroparque Juan Pablo Segundo,15,15,1,CR 70 # 16 - 04,832379.5859,1179700.5635,6.21911621,-75.59197998
240,"(832366.3520000002, 1185094.8726)",WIFIMDE0112,Parque 4 Vientos (Los Colores),11,11,1,CL 54 A - CR 77 C,832366.352,1185094.8726,6.2678833,-75.59210205
241,"(832312.4424, 1187660.3788)",WIFIMDE0278,Placa Polideportiva Romeral,07,07,1,CL 80 - CR 93 A  (CAI Aures),832312.4424,1187660.3788,6.29107666,-75.59259033
242,"(832264.7043, 1179234.7280000001)",WIFIMDE0057,Unidad Deportiva María Luisa Calle,15,15,1,CR 70 # 1 - 180,832264.7043,1179234.728,6.21490478,-75.59301758
243,"(832224.3873000003, 1183326.033)",WIFIMDE0113,Parque Lourdes,11,11,1,CL 45 D - CR 75,832224.3873,1183326.033,6.25189209,-75.59338379
244,"(832210.8396, 1182664.404)",WIFIMDE0116,Primer Parque de Laureles,11,11,1,TV 74 - CQ 3,832210.8396,1182664.404,6.24591065,-75.59350586
245,"(832190.6384, 1183879.6434)",WIFIMDE0058,"Velódromo Martín Emilio ""Cochise"" Rodríguez",11,11,1,CL 47 # 75 - 262,832190.6384,1183879.6434,6.25689697,-75.59368896
246,"(832068.9948, 1183191.0151)",WIFIMDE0114,Parque El Emperador,11,11,1,CR 75 entre CL 44A & CL 45B,832068.9948,1183191.0151,6.25067139,-75.5947876
247,"(832055.5023, 1183528.5821000002)",WIFIMDE0115,Parque Pinocho,11,11,1,CR 77 - CL 45E,832055.5023,1183528.5821,6.25372314,-75.59490967
248,"(831987.9258, 1183218.025)",WIFIMDE0153,CAV La América,11,11,1,CL 44 A # 75 - 104,831987.9258,1183218.025,6.25091553,-75.59552002
249,"(831947.5289000003, 1185560.7371)",WIFIMDE0202,Centralidad El Pesebre,13,13,1,CL 59 - CR 81 - 25,831947.5289,1185560.7371,6.27209473,-75.59588623
250,"(831934.1399, 1187619.8919000002)",WIFIMDE0307,Placa Polideportiva Don Bosco,07,07,1,CR 96 A # 78 AA - 06,831934.1399,1187619.8919,6.29071045,-75.5960083
251,"(831913.5033000004, 1181401.923)",WIFIMDE0149,Mascerca Belén,16,16,1,CR 76 # 32 -74,831913.5033,1181401.923,6.23449707,-75.59619141
252,"(831913.7734, 1185938.8132000002)",WIFIMDE0146,Centro de Servicios Robledo,07,07,1,CL 64 A # 85 - 19 (Inspección 7 A),831913.7734,1185938.8132,6.27551269,-75.59619141
253,"(831900.2647000004, 1185979.3220000002)",WIFIMDE0171,Parque de Robledo,07,07,1,CL 65 - CR 86,831900.2647,1185979.322,6.27587891,-75.59631348
254,"(831845.9290000005, 1181179.1334000002)",WIFIMDE0178,Parque Belén,16,16,1,CR 76 - CL 31,831845.929,1181179.1334,6.23248291,-75.59680176
255,"(831744.5269000002, 1180206.9488)",WIFIMDE0091,CEDEZO Belén,16,16,1,CR 76 # 18 A -19,831744.5269,1180206.9488,6.22369385,-75.59771729
256,"(831670.4079000001, 1183346.3195)",WIFIMDE0162,Aula Ambiental Plaza La América,12,12,1,CL 45 # 79 A – 100,831670.4079,1183346.3195,6.2520752,-75.59838867
257,"(831656.7343, 1180807.8223)",WIFIMDE0086,UPSS Belén,16,16,1,CL 28 # 77 - 124 ,831656.7343,1180807.8223,6.22912598,-75.59851074
258,"(831447.4153000006, 1182617.1911)",WIFIMDE0109,Mall Laureles,11,11,1,CR 80 - CL 37,831447.4153,1182617.1911,6.2454834,-75.60040283
259,"(831426.9038, 1179011.9849999999)",WIFIMDE0164,Desarrollo Integral Belén Rincón,16,16,1,CL 1 C - CR 76 A,831426.9038,1179011.985,6.21289063,-75.60058594
260,"(831339.2945, 1182245.8755)",WIFIMDE0129,Parque La Matea,11,11,1,CL 34 C - CR 80 B,831339.2945,1182245.8755,6.24212646,-75.60137939
261,"(831325.8887, 1183771.6757999999)",ACP-2121516,Parque Principal La Floresta,12,12,1,TV 45D #  85 - 27,831325.8887,1183771.6758,6.25592041,-75.60150146
262,"(831217.9272, 1185608.0437000003)",WIFIMDE0270,Parque Infantil Colinas de Calasanz,SN01,SN01,1,CL 57 D - CR 86 B,831217.9272,1185608.0437,6.27252197,-75.60247803
263,"(831095.8372, 1178944.495)",WIFIMDE0100,Centro de Salud Belén Rincón,16,16,1,CL 2 B #  79- 10,831095.8372,1178944.495,6.21228027,-75.60357666
264,"(831062.4316, 1184034.9963)",WIFIMDE0272,Estación Metro Santa Lucía (exterior),12,12,1,CL 47 DD - CR 87,831062.4316,1184034.9963,6.25830078,-75.60388184
265,"(831028.6906, 1184541.3482)",WIFIMDE0155,Centro de Salud Santa Rosa de Lima,12,12,1,CL 49DD  #  87 - 11,831028.6906,1184541.3482,6.26287842,-75.60418701
266,"(830974.5243000006, 1182948.0396)",WIFIMDE0271,Parque El Manicomio,12,12,1,CL 42 B - CR 84,830974.5243,1182948.0396,6.24847412,-75.60467529
267,"(830961.0801000001, 1183839.2155)",WIFIMDE0285,Unidad Deportiva La Floresta,12,12,1,TV 47 A - CR 87 B,830961.0801,1183839.2155,6.25653076,-75.60479736
268,"(830927.4604000004, 1185918.6261)",WIFIMDE0258,Placa PoliDeportiva Blanquizal,13,13,1,CR 92 DD - CL 58 D,830927.4604,1185918.6261,6.27532959,-75.60510254
269,"(830873.4085, 1185824.1117)",WIFIMDE0124,Centro de Salud Manantial de Vida,13,13,1,CL 57 F # 92 CC - 107,830873.4085,1185824.1117,6.2744751,-75.60559082
270,"(830785.173, 1180585.0905)",WIFIMDE0061,Desarrollo Integral Belén Zafra,16,16,1,CR 83 C -  CL 22,830785.173,1180585.0905,6.22711182,-75.60638428
271,"(830758.4323, 1184170.0461)",WIFIMDE0008,Casa de la Cultura Los Alcázares,13,13,1,CL 48 B #  88 A - 62,830758.4323,1184170.0461,6.25952148,-75.60662842
272,"(830751.6744, 1184143.0413000002)",WIFIMDE0023,Mascerca La Floresta,13,13,1,CR 89 B # 48 A - 37,830751.6744,1184143.0413,6.25927734,-75.60668945
273,"(830663.8872000002, 1184608.8897000002)",WIFIMDE0249,Placa PoliDeportiva Metropolitano,13,13,1,CR 96 - CL 49 C,830663.8872,1184608.8897,6.26348877,-75.60748291
274,"(830650.1588, 1181935.3662999999)",WIFIMDE0111,Parque La Castellana,11,11,1,CL 33 - CR 83 B,830650.1588,1181935.3663,6.23931885,-75.60760498
275,"(830650.0958000002, 1181158.9638999999)",WIFIMDE0276,Parque Quimbaya,16,16,1,CL 31 - CR 84,830650.0958,1181158.9639,6.2322998,-75.60760498
276,"(830629.8149, 1181003.6851)",WIFIMDE0167,Parque Principal Belén Los Alpes,16,16,1,CL 29 B - CR 84,830629.8149,1181003.6851,6.230896,-75.60778809
277,"(830596.1847, 1182840.0482)",WIFIMDE0099,Unidad Deportiva Barrio Cristóbal,12,12,1,CR 86 A - CL 40,830596.1847,1182840.0482,6.24749756,-75.60809326
278,"(830542.2439000005, 1184122.8043)",WIFIMDE0273,Cancha La Campiña Pradera Baja,13,13,1,CR 91 A # 48 C - 25,830542.2439,1184122.8043,6.25909424,-75.60858154
279,"(830393.2673, 1180031.514)",WIFIMDE0254,Cancha de Fútbol Arenilla Buena Vista,16,16,1,CR 88 # 18 - 16,830393.2673,1180031.514,6.22210693,-75.60992432
280,"(830130.1042, 1183704.2576000001)",WIFIMDE0246,Parque Campo Alegre (La Jota),12,12,1,CR 95 - CL 44 (Av San Juan),830130.1042,1183704.2576,6.25531006,-75.61230469
281,"(830042.2805, 1183724.5196000002)",WIFIMDE0203,CEDEZO San Javier,12,12,1,CL 44 # 95 - 63,830042.2805,1183724.5196,6.25549316,-75.61309814
282,"(830022.0236, 1183839.294)",WIFIMDE0219,Estación Metrocable San Javier J (interior),13,13,1,CL 45 - CR 98,830022.0236,1183839.294,6.25653076,-75.61328125
283,"(830022.2745000003, 1186560.0779)",WIFIMDE0074,UPSS Nuevo Occidente,60,60,2,CR 102 C # 63 B - 65,830022.2745,1186560.0779,6.28112793,-75.61328125
284,"(829994.4903, 1178303.2103)",WIFIMDE0182,Cancha de Arena El Manzanillo,70,70,2,CL 5 A S # 89 - 220 (Vía Vereda el Manzanillo),829994.4903,1178303.2103,6.20648193,-75.61352539
285,"(829974.6728, 1183191.1712)",WIFIMDE0198,Placa PoliDeportiva La Cristóbal,12,12,1,CR 94 - CL 37,829974.6728,1183191.1712,6.25067139,-75.6137085
286,"(829974.6278, 1182705.0758)",WIFIMDE0247,Parque Los Tanques,12,12,1,CR 89A - CL 35A,829974.6278,1182705.0758,6.24627686,-75.6137085
287,"(829940.7329000001, 1181469.5866)",WIFIMDE0308,Cancha Las Violetas,16,16,1,CL 31 C- CR 89 C,829940.7329,1181469.5866,6.23510742,-75.61401367
288,"(829934.4507, 1186533.0807000003)",WIFIMDE0220,Plazoleta Estación Metrocable La Aurora (exterior),60,60,2,CL 64 - CR 103 C,829934.4507,1186533.0807,6.28088379,-75.61407471
289,"(829900.6796, 1186600.5971)",WIFIMDE0287,Plazoleta Villa Suramericana (Frente La Aurora),60,60,2,CL 64 - CR 104,829900.6796,1186600.5971,6.28149414,-75.61437988
290,"(829886.9133, 1183900.0685)",WIFIMDE0216,Plazoleta Estación Metro San Javier B (exterior),13,13,1,CL 45 - CR 99,829886.9133,1183900.0685,6.25708008,-75.61450195
291,"(829799.1923, 1184987.0400999999)",WIFIMDE0140,Centro de Salud La Quiebra,13,13,1,CL 48 DD # 99 EE - 30,829799.1923,1184987.0401,6.26690674,-75.61529541
292,"(829765.2218000002, 1182995.4024999999)",WIFIMDE0033,Parque del Ajedrez,12,12,1,CL 35B - CR 93,829765.2218,1182995.4025,6.24890137,-75.61560059
293,"(829697.6457000002, 1182819.8746)",WIFIMDE0049,CAV Belencito,13,13,1,CR 92 # 34 D - 93,829697.6457,1182819.8746,6.24731445,-75.61621094
294,"(829522.1229, 1184122.8976)",WIFIMDE0248,Desarrollo Integral el Socorro,13,13,1,CR 102 - CL 47 C 3,829522.1229,1184122.8976,6.25909424,-75.61779785
295,"(829380.5034, 1186560.1402)",WIFIMDE0063,Exteriores Ludoteca Casa San Martín,60,60,2,CR 117 E # 63 C - 63,829380.5034,1186560.1402,6.28112793,-75.61907959
296,"(829380.4964, 1186492.6269)",WIFIMDE0236,Placa PoliDeportiva San Martín,60,60,2,CR 64 B # 106 - 60,829380.4964,1186492.6269,6.28051758,-75.61907959
297,"(829312.5441, 1182684.8868)",WIFIMDE0157,Centro de Salud Villa Laura,13,13,1,CR 105 B # 34 BB - 80,829312.5441,1182684.8868,6.24609375,-75.61968994
298,"(829299.4185, 1186377.8629)",ACP-2076975,Centro de Servicios Nuevo Occidente (Casa Lusitania),60,60,2,CL 63 # 108 BB - 06,829299.4185,1186377.8629,6.27947998,-75.61981201
299,"(829245.08, 1183589.5714000002)",WIFIMDE0085,UPSS San Javier,13,13,1,CL 40 # 105 - 103 ,829245.08,1183589.5714,6.25427246,-75.62030029
