OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
34,"(837777.7591, 1182022.9914000002)",WIFIMDE0325,Cancha Polideportiva Cubierta La Libertad,08,08,1,CL 56 - CR 20,837777.7591,1182022.9914,6.2401123,-75.54321289
35,"(837757.2475, 1187970.9076)",WIFIMDE0228,Parque La Candelaria,01,01,1,CR 33 A - CL 106 A,837757.2475,1187970.9076,6.29388428,-75.543396
36,"(837744.0356000001, 1180625.4659000002)",WIFIMDE0245,Parque Caunces de Oriente,09,09,1,CL 44 AA - CR 10 A,837744.0356,1180625.4659,6.22747803,-75.54351807
37,"(837723.6585000001, 1183325.9949)",WIFIMDE0156,Centro de Salud Llanaditas,08,08,1,CL 58 #  21 - 62,837723.6585,1183325.9949,6.25189209,-75.54370117
38,"(837689.8870000001, 1183130.2052)",WIFIMDE0266,Plazoleta Colinas de Enciso parte alta,08,08,1,CL 57 C - CR 23,837689.887,1183130.2052,6.25012207,-75.54400635
39,"(837635.6638000001, 1187660.3418999999)",WIFIMDE0056,Unidad Deportiva Granizal,01,01,1,CLL 102 - CR33 E,837635.6638,1187660.3419,6.29107666,-75.54449463
40,"(837622.2446, 1185297.3778)",WIFIMDE0108,Unidad Deportiva El Raizal,03,03,1,CR 32 - CL 78,837622.2446,1185297.3778,6.26971436,-75.5446167
41,"(837581.7233, 1184966.5613)",WIFIMDE0154,Centro de Salud El Raizal,03,03,1,CR 32 # 71 A – 51,837581.7233,1184966.5613,6.26672363,-75.54498291
42,"(837568.1026000001, 1187862.8791)",WIFIMDE0259,Plazoleta Granizal,01,01,1,CR 36 B - CL 104,837568.1026,1187862.8791,6.29290771,-75.54510498
43,"(837500.5079000001, 1188990.3478)",WIFIMDE0229,Cancha de Futbol el Rompoy Popular N1,01,01,1,CL 120 - CR 42 D,837500.5079,1188990.3478,6.30310059,-75.54571533
44,"(837392.4592000002, 1187997.8993000002)",WIFIMDE0230,Parque Lineal La Herrera Santo Domingo,01,01,1,CR 37 B - CL 107,837392.4592,1187997.8993,6.29412842,-75.54669189
45,"(837304.6917, 1186445.0916)",WIFIMDE0101,Unidad Deportiva San Blas,03,03,1,CL 86 B # 36 AA - 45,837304.6917,1186445.0916,6.28009033,-75.54748535
46,"(837216.8421000001, 1187329.5123)",WIFIMDE0144,Centro de Salud San Blas,01,01,1,CL 89 # 38 - 61,837216.8421,1187329.5123,6.28808594,-75.54827881
47,"(837203.4115, 1184784.2625000002)",WIFIMDE0170,Parque Gaitán,03,03,1,CR 37 - CL 70,837203.4115,1184784.2625,6.26507568,-75.54840088
48,"(837203.3063000002, 1188126.1682000002)",WIFIMDE0131,Plazoleta Estación Metrocable Popular 1 (exterior),01,01,1,CL 106 entre CR 42B Y CR 42C,837203.3063,1188126.1682,6.29528809,-75.54840088
49,"(837189.7713000001, 1188902.5702)",WIFIMDE0301,Parque la Isla,01,01,1,CR 46 - CL 118,837189.7713,1188902.5702,6.30230713,-75.54852295
50,"(837115.5644000001, 1185560.6622000001)",WIFIMDE0286,Unidad Deportiva Santa Ines,03,03,1,CL 79 # 40 -10,837115.5644,1185560.6622,6.27209473,-75.54919433
51,"(837095.3997000001, 1182090.4808)",WIFIMDE0050,Unidad Deportiva Miraflores,09,09,1,CR 26 A # 49 A - 110,837095.3997,1182090.4808,6.24072266,-75.54937744
